album_id,album_name,release_date,
352,All Bluesd Up Songs of the Rolling Stones,2006-03-19,
353,Good Company,2014-04-26,
354,Born and Raised,2012-05-18,
355,Outskirt,1987-03-10,
356,Indianola Mississippi Seeds,1970-01-01,
357,Riding with the King,2000-06-13,
358,King Of The Boogie,2009-12-07,
359,Live In Cook County Jail,1971-01-01,
360,In Session,1999-01-01,
361,The Natchl Blues,1968-01-01,
362,Open Road,1970-09-07,
363,In Step,1989-06-06,
364,Born To Play Guitar,2012-09-13,
365,Live And Well,1969-01-01,
366,Up 2 Zero,2012-03-06,
367,Give It Up 2008 Remaster,1995-04-24,
368,Folk Singer Expanded Edition,2012-05-23,
369,Lucille,1968-01-01,
370,I Was Walking Through The Woods Expanded Edition,2010-08-31,
371,Tell Mama,1968-04-18,
372,Completely Well,1969-12-05,
373,Are You Experienced,1967-05-12,
374,To Know You Is To Love You,1973-01-01,
375,Heart  Soul A Retrospective,2011-10-18,
376,Shake Your Money Maker The Best Of The Fire Sessions,1960-06-11,
377,The Allman Brothers Band Deluxe,1969-01-01,
378,The Cream Of Clapton,1995-03-07,
379,The Pious Bird of Good Omen,1969-08-15,
380,His Best 19561964  The Chess 50th Anniversary Collection,1997-05-20,
381,Easy Blues France 1978 Blues Reference,1978-01-01,
382,The Essential Magic Sam The Cobra and Chief Recordings 19571961,2001-01-01,
383,BloomfieldA Retrospective,1984-01-01,
384,This Is Clarence Carter,1968-01-01,
385,The Essential Otis Rush,1956-01-01,
386,Alligator Records 50 Years Of Genuine Houserockin Music,2012-10-11,
387,The Alligator Records Years,2004-11-08,
388,The Best Of DukePeacock Blues,1992-02-16,
389,The Complete Chess Masters,1997-01-01,
390,Best Of Slim Harpo,1997-11-04,
391,The Best Of Louis Jordan,1975-01-01,
392,Mamie Smith Vol. 1 19201921,1995-01-01,
393,Papa Charlie Jackson Vol. 2 1926  1928,1991-01-01,
394,Legends Of Country Blues The Complete PreWar Recordings Of Skip James Disc A,2012-10-09,
395,Curley Weaver 19331935,1992-01-01,
396,Blind Lemon Jefferson Vol. 2 1927,1991-01-01,
397,The Slide Guitar Bottles Knives  Steel,1990-08-28,
398,Son House Revisited Vol. 1,2004-06-26,
399,Absolutely The Best,1998-03-01,
400,Blues Legend  The Best Of,1991-11-17,
401,Blind Boy Fuller Vol. 1 1935  1936,1992-01-01,
402,Come Back Baby  Chicago Breakdown,1953-01-01,
403,Presenting Johnnie Temple,2005-10-26,
404,Lonnie Johnson Vol. 3 19441947,1992-01-01,
405,Tampa Red Vol. 11 19391940,1993-01-01,
406,Charley Patton Vol. 1 1929,1990-01-01,
407,Presenting Frank Stokes,1992-02-09,
408,Mississippi Blues Vol. 3 Catfish Blues,2002-01-01,
409,Shave Em Dry The Best Of Lucille Bogan,1933-01-01,
410,Kokomo Arnold  His 20 Greatest Songs,1993-03-22,
411,Whiskey Is My Habit Good Women Is All I Crave The Best Of Leroy Carr,1928-01-01,
412,Sleepy John Estes Vol. 2 1937  1941,2005-04-12,
413,The Best of Bessie Smith,1923-01-01,
414,Victoria Spivey Vol. 1 19261927,1995-01-01,
415,Jukebox Hits Volume 1 19421947,1987-11-12,
416,The Complete Decca Recordings,1992-01-01,
417,Atomic Boogie,1999-03-23,
418,The Best Of Muddy Waters,1957-04-02,
419,Rock Me Mama  When The Sun Goes Down Series,2011-09-21,
420,Mr. Luck The Complete VeeJay Singles,2017-08-04,
421,Singin The Blues,1957-01-01,
