song_id,playlist_id,,
6Nv8dfTm2qMjJeP7OL3hO7,1,,
444K26ZZpRg8kFlVK0vLZ1,1,,
2SN7hLyPSHyBKwykU0k0No,1,,
0pgpmYkOwFnNLsyyIETixm,1,,
2dp14VWbIxOVNmaWKkVB1r,1,,
6ECnAHxGQilDe32zQqfdz3,1,,
7j02rdE5RVtNcNMuLGY5SS,1,,
7f6335NYzOYXaEGQsQQX69,1,,
2Qj1FilGsXITZbFVmVeoLy,1,,
3OHj5SY6j7Ftmfa7qZJWoa,1,,
7lpsRa4kcNoxSHUDNDXpnn,1,,
5qeIvBRIpXOd1u3M0WJI7y,1,,
6QECt4RBTcK4oa8tiVdnpg,1,,
1au0UriYTUH9aM9QN5FsLF,1,,
5DUWIeIriroyHEbPdqxEFG,1,,
0BfVCv8lMEHxEWZlo85Zso,1,,
6hJqobCBH4TqF6Q9SjuOYY,1,,
4ccdgqrPG8n28V0FWnWWL9,1,,
69PdgDDV16OgjRqIPUMSGB,1,,
0PVdbSPydF3CZSPIZVTZvv,1,,
5cQ7tg9pZauOxt7K7GuUQS,1,,
67L8LqiE2SM3ZXUb2GaNJX,1,,
6OszZ52oPNc7zNhNyy5oRA,1,,
6NTCurUHy71S0XKVtyQtqT,1,,
1o1tRlpQj5hD8PGayqwHkQ,1,,
0E3Ck752Kw29gVpyAVDLDo,1,,
32ecOrsdCwvQFf3GFDkEVj,1,,
7mfJmTN0CG7tUN6F9299xA,1,,
33hrofhwmIk6hrnkpbCsmq,1,,
74tZbUXCBYNhpKsQQknmM1,1,,
2LtpyfWWnr5V96l3Js7LLX,1,,
3K1I4gBtggUMx9360SkT9w,1,,
2FtX5tOFUVOyjcGQiuGR8f,1,,
6K7oyxhh6ZaleBQgRl8fF9,1,,
0C7qBmJDcg13XMdgXCJQjC,1,,
6EopIjLuOcoccD3Prb2RFp,1,,
5TjuQd2TgP2zQrEZdoCM2S,1,,
24NQfrn2hnZLHivLvoMw98,1,,
7cUrNFs6eHOlAoyNZQxYAG,1,,
1sDjmXKAe3w6jUSmNsgsdK,1,,
2T6QJ7Ax9evXGxvGXBC8le,1,,
21dxQBD3qgLnL9cFQ86Cdo,1,,
1HRx7dciQYCv76XvbBDAGM,1,,
0seGiOfOZUuW3KDhywVYo9,1,,
1gmD8S3i2TKBPxWbanoYJi,1,,
1sNvjndPMfyyLXvcgkwQxQ,1,,
1CQujRaW5SyQUf2MeTtWiz,1,,
2R7uUQ0Dehu80gsOcydQC9,1,,
0EzykG4pYlmmGTihakWGRL,1,,
5txOpfLvxVs0dASX7tOZ6n,1,,
2weDaSchvoctn3YrbtDCmx,1,,
1tVX38Zaf1rKJOkAuMXef4,1,,
1Ig4IXxrtv5zeUxtnIbHGx,1,,
05R5ITnJvTH6VIs4bTsRFo,1,,
06seDLtwax1URGUWMM1Tzb,1,,
0ECyZFXS02fUPW1AxMCUBQ,1,,
14u5dfxMsAxW2sqEUSR8to,1,,
1SHZaeNgwBhSCWdLXDVH71,1,,
4e613iLxwhJMH1tnRmVlNr,1,,
4yIetWIOrL4UknXPogikEg,1,,
2f47wE92JeVnJ8EM0IGsNQ,1,,
7DEJhOhpEPH4Rd5FiZBnWC,1,,
4nFUyC6eDW1wJsYSYLMqZd,1,,
7Bmo1L24zfcPK54Jkv0nmg,1,,
0z996lfA5XGfC9uwVaBIUW,1,,
23SzMsoS9zOwacAc9z7IDN,1,,
04XR8eIFR3gOGCYOvT6kOS,1,,
67x6MplGQC4XMWV4esq1T8,1,,
4Vfgc4BdSKM2hRlkaRFc9C,1,,
5KZrHPwscBkXturVJCJlM4,1,,
4hv2Pkp66pnIrUBuS95Snw,1,,
6kUj1CGKq1k7ofG5aAqGqT,1,,
00i9Z1TAcZyXG5lARRz4GI,1,,
0tYJ6uY0ETQOtOM8KySMSp,1,,
2gkEufrsoGisa7p4rh6K22,1,,
1ADc4I9nlzy4rJOrLxzTzl,1,,
3kYLpeRglpJLQkCsbp7p4j,1,,
1AW3odaoNryctebMUlD2tt,1,,
74iOextZ9kGlKLJomjh1BH,1,,
2Z9bN4v0RG8TRkcgw3htap,1,,
3E0VKSvZp76kvBU2WwwBul,1,,
7vsJLJHAYHRmovTbRTgRFx,1,,
3c0LKucNXSYtmbuHUtiNPf,1,,
3MFNgRHgDdunMaG3ynhzqZ,1,,
13U5RkUCkBeSPHqctBcHzR,1,,
51eO3uxag2ZhvnqWePYeVv,1,,
06s7QRpHfeiKL3YCIRTKxg,1,,
0GkM9T6C7nzkgWUbK7E2cd,1,,
6IIngEBJRQQumwt1MA3Y6y,1,,
