song_id,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,artist_id,album_id
1CAZgVyNgA9pR4e6GHALhq,When You Lose Someone,44,0.387,0.372,-5.849,0.0339,0.281,0,0.0927,0.318,130.074,201827,pop,1803,4234
6zBqlhWjEhNyH4Z8eUDzMT,Twinkle Twinkle Little Bitch,62,0.571,0.854,-4.753,0.125,0.0151,0,0.251,0.6,160.035,156938,pop,1779,4235
6aVXogDmwqAJCrFguyWbKj,Infinity PRETTY YOUNG Remix,66,0.543,0.595,-8.61,0.0477,0.0432,0.000247,0.101,0.338,122.052,210500,pop,1777,4236
2qLMf6TuEC3ruGJg4SMMN6,Lucky,67,0.625,0.414,-8.7,0.0369,0.294,0,0.151,0.669,130.088,189613,pop,1800,3398
2jRISGsO4RTm9CQVb1Jusn,Im Not Her,60,0.477,0.51,-8.94,0.275,0.228,0,0.0755,0.477,111.893,194204,pop,1805,4237
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,77,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,pop,1806,4238
7L5lSrY4QYAwvaqeIXSayN,You Are The Reason  Duet Version,43,0.403,0.356,-7.547,0.0298,0.382,0,0.148,0.151,171.454,190760,pop,1802,4239
08SB2OtZkaliju77WYEKxk,No Love with SZA,76,0.707,0.618,-5.825,0.19,0.17,0,0.293,0.517,133.876,231498,pop,1809,4240
1dKe9VEGUSNfzn5MDvm6SJ,Closer feat. H.E.R.,64,0.833,0.691,-5.771,0.133,0.139,2.99E-05,0.131,0.866,110.985,168873,pop,1807,4241
1jVjOcs7QeQZJXScbqvofI,Time Machine,69,0.606,0.532,-6.076,0.0416,0.44,0,0.132,0.405,81.332,143640,pop,1793,4242
3cQmqM0awej9iAESjhKrI9,Confidently Lost,58,0.666,0.39,-8.575,0.0838,0.272,9.39E-06,0.111,0.325,113.866,209885,pop,1816,4243
6KkyuDhrEhR5nJVKtv9mCf,High Hopes,67,0.488,0.487,-6.371,0.0305,0.577,0,0.193,0.219,77.278,230267,pop,1804,3402
45iMwUi9OBJlEIsTJ4AStR,Not A Love Song,56,0.743,0.523,-10.288,0.0867,0.128,0.000124,0.135,0.316,92.006,192293,pop,1818,4244
0UTmS76yJwuCpiKEn16uN5,1991,57,0.853,0.686,-8.314,0.268,0.0424,2.79E-06,0.0866,0.538,122.97,210479,pop,1814,4245
7hauyzTQ4EQcksL390cTPU,Mountains,58,0.637,0.78,-7.547,0.049,0.279,0.00186,0.517,0.478,94.029,129077,pop,1822,4246
3MEt5KPNRD7RpE8BnvJe6B,Just So You Know,57,0.575,0.818,-4.878,0.0266,0.0112,0,0.327,0.521,77.983,233760,pop,1815,4247
6TjP1C3sGQH1jBfzUXfcMg,Kamikaze,55,0.663,0.878,-3.195,0.0646,0.0368,3.39E-06,0.328,0.704,158.035,214240,pop,1825,2954
0hebjXwdDFHS1kHDQ82HZr,Jah Give Us Life,55,0.76,0.568,-12.166,0.0578,0.0521,0.000932,0.0666,0.962,144.678,232440,reggae,2200,4248
0rY1FvyyqOYSdxnKfBGjj3,Pass The Kutchie,48,0.7,0.476,-9.771,0.0703,4.48E-05,0.00158,0.0946,0.652,143.413,215667,reggae,2201,4249
4PKri4OX2AB2RXj95Y9ZgB,Book Of Rules,53,0.779,0.533,-14.152,0.0535,0.272,0.159,0.13,0.944,142.495,211467,reggae,2202,4250
4qgjTShkgEYwyfxfHWpFLO,Meditation  Remastered 2002,52,0.73,0.442,-9.811,0.15,0.0932,0,0.0804,0.481,129.298,175560,reggae,2203,4251
