artist_id,album_id,,
231,367,,
18,368,,
88,369,,
53,370,,
232,371,,
88,372,,
233,373,,
88,374,,
232,375,,
6,376,,
234,377,,
235,378,,
236,379,,
18,380,,
237,381,,
7,382,,
95,383,,
238,384,,
1,385,,
20,386,,
62,386,,
42,387,,
239,388,,
28,389,,
12,390,,
14,386,,
240,391,,
241,392,,
242,393,,
52,394,,
243,395,,
80,396,,
244,397,,
22,398,,
93,399,,
245,400,,
45,401,,
246,402,,
247,403,,
70,404,,
60,405,,
63,406,,
248,407,,
188,408,,
249,409,,
250,410,,
92,411,,
87,412,,
113,413,,
194,414,,
240,415,,
251,416,,
122,417,,
18,418,,
56,419,,
5,420,,
88,421,,
1,422,,
53,423,,
252,424,,
253,425,,
254,426,,
252,427,,
255,428,,
14,429,,
232,430,,
256,431,,
257,432,,
258,433,,
259,434,,
260,435,,
261,436,,
14,258,,
262,437,,
263,438,,
264,439,,
265,440,,
266,441,,
162,442,,
241,443,,
261,444,,
14,445,,
267,446,,
249,447,,
113,448,,
268,449,,
194,450,,
162,451,,
269,452,,
270,453,,
271,454,,
272,455,,
149,456,,
113,457,,
241,458,,
273,459,,
274,460,,
235,461,,
88,462,,
275,463,,
276,464,,
29,465,,
277,466,,
232,467,,
34,468,,
146,469,,
278,470,,
7,471,,
279,472,,
228,473,,
203,474,,
280,475,,
88,476,,
281,477,,
29,478,,
232,479,,
282,480,,
101,481,,
283,482,,
33,483,,
284,484,,
88,485,,
285,486,,
286,487,,
287,488,,
288,489,,
289,490,,
290,491,,
136,492,,
291,493,,
292,494,,
293,495,,
294,496,,
295,497,,
296,498,,
297,499,,
298,500,,
299,501,,
300,502,,
301,503,,
288,494,,
302,504,,
303,505,,
295,506,,
297,507,,
304,508,,
305,509,,
306,510,,
307,511,,
308,512,,
295,513,,
101,514,,
309,515,,
310,516,,
311,517,,
312,518,,
313,519,,
314,520,,
315,521,,
316,522,,
317,523,,
318,524,,
319,525,,
136,526,,
320,527,,
286,528,,
321,529,,
322,530,,
323,531,,
324,532,,
325,533,,
326,534,,
327,535,,
328,536,,
322,537,,
329,538,,
330,539,,
331,540,,
142,541,,
332,542,,
285,543,,
333,544,,
334,545,,
335,546,,
336,547,,
298,548,,
337,549,,
338,550,,
339,551,,
101,552,,
286,553,,
340,554,,
341,555,,
275,556,,
342,557,,
275,558,,
343,559,,
53,560,,
344,561,,
345,562,,
346,563,,
33,564,,
347,565,,
348,566,,
296,567,,
349,568,,
350,569,,
347,570,,
351,571,,
10,572,,
352,573,,
353,574,,
354,575,,
53,576,,
355,577,,
10,578,,
356,579,,
25,580,,
71,581,,
357,582,,
358,583,,
357,584,,
53,585,,
359,586,,
170,587,,
360,588,,
361,589,,
362,590,,
363,591,,
364,592,,
53,593,,
365,594,,
366,595,,
367,596,,
368,597,,
369,598,,
370,599,,
371,600,,
372,601,,
373,602,,
317,603,,
374,604,,
375,605,,
376,606,,
377,607,,
231,608,,
378,609,,
379,610,,
202,611,,
380,612,,
182,613,,
381,614,,
382,615,,
383,616,,
210,617,,
384,618,,
385,619,,
386,620,,
132,621,,
387,622,,
388,623,,
389,624,,
390,625,,
391,626,,
324,627,,
104,628,,
169,629,,
392,630,,
91,631,,
315,632,,
393,633,,
394,634,,
395,635,,
344,636,,
396,637,,
152,638,,
397,639,,
398,640,,
328,641,,
399,642,,
400,643,,
401,362,,
402,644,,
403,645,,
404,646,,
405,647,,
406,648,,
407,649,,
144,650,,
408,651,,
409,652,,
410,653,,
411,654,,
412,655,,
413,656,,
414,657,,
285,658,,
351,659,,
415,660,,
416,661,,
417,662,,
418,663,,
291,664,,
419,665,,
344,666,,
291,667,,
314,668,,
344,669,,
276,670,,
231,671,,
101,672,,
296,673,,
67,674,,
104,675,,
276,676,,
375,677,,
328,678,,
420,679,,
317,680,,
104,681,,
421,682,,
365,683,,
62,684,,
422,685,,
391,686,,
423,687,,
365,688,,
424,689,,
425,690,,
426,691,,
423,692,,
427,693,,
314,694,,
104,695,,
88,696,,
410,697,,
33,698,,
53,699,,
423,700,,
89,701,,
428,702,,
235,703,,
233,704,,
429,705,,
21,706,,
430,707,,
233,708,,
431,709,,
351,710,,
3,711,,
235,712,,
62,713,,
18,714,,
432,715,,
282,716,,
433,717,,
86,718,,
24,719,,
68,720,,
434,721,,
417,722,,
435,723,,
199,724,,
